repeat,seed,model_name,cv_balanced_accuracy,best_params,val_accuracy,val_balanced_accuracy,val_f1,val_recall,val_precision,val_specificity,val_tn,val_fp,val_fn,val_tp,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_recall,test_precision,test_specificity,test_tn,test_fp,test_fn,test_tp,test_auc
4,45,svm_rbf,0.6696428571428571,"{'clf__C': 1.0, 'clf__gamma': 0.001}",0.5,0.5,0.45454545454545453,0.4166666666666667,0.5,0.5833333333333334,7,5,7,5,0.5277777777777778,0.6,0.6057692307692308,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.75,9,3,7,6,0.7371794871794872
4,45,random_forest,0.6303571428571428,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.4166666666666667,0.41666666666666663,0.46153846153846156,0.5,0.42857142857142855,0.3333333333333333,4,8,6,6,0.5069444444444444,0.72,0.7243589743589745,0.6956521739130435,0.6153846153846154,0.8,0.8333333333333334,10,2,5,8,0.782051282051282
5,46,logreg,0.5410714285714285,{'clf__C': 0.1},0.5,0.5,0.5714285714285714,0.6666666666666666,0.5,0.3333333333333333,4,8,4,8,0.5138888888888888,0.52,0.5128205128205128,0.6,0.6923076923076923,0.5294117647058824,0.3333333333333333,4,8,4,9,0.5512820512820513
5,46,svm_rbf,0.6053571428571429,"{'clf__C': 1.0, 'clf__gamma': 0.001}",0.6666666666666666,0.6666666666666667,0.7142857142857143,0.8333333333333334,0.625,0.5,6,6,2,10,0.6944444444444445,0.64,0.6282051282051282,0.7272727272727273,0.9230769230769231,0.6,0.3333333333333333,4,8,1,12,0.7884615384615385
5,46,random_forest,0.6482142857142856,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,7,5,5,7,0.7152777777777778,0.72,0.7115384615384616,0.7741935483870968,0.9230769230769231,0.6666666666666666,0.5,6,6,1,12,0.8782051282051282
6,47,logreg,0.5178571428571429,{'clf__C': 10.0},0.625,0.625,0.64,0.6666666666666666,0.6153846153846154,0.5833333333333334,7,5,4,8,0.5833333333333333,0.68,0.6762820512820513,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.5833333333333334,7,5,3,10,0.717948717948718
6,47,svm_rbf,0.6589285714285714,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.7083333333333334,0.7083333333333334,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.5833333333333334,7,5,2,10,0.701388888888889,0.68,0.6730769230769231,0.7333333333333333,0.8461538461538461,0.6470588235294118,0.5,6,6,2,11,0.6730769230769231
6,47,random_forest,0.7125,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6666666666666666,0.6666666666666667,0.6923076923076923,0.75,0.6428571428571429,0.5833333333333334,7,5,3,9,0.7916666666666666,0.76,0.7564102564102564,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.6666666666666666,8,4,2,11,0.6891025641025642
7,48,logreg,0.575,{'clf__C': 0.1},0.5416666666666666,0.5416666666666667,0.56,0.5833333333333334,0.5384615384615384,0.5,6,6,5,7,0.47916666666666663,0.6,0.592948717948718,0.6666666666666666,0.7692307692307693,0.5882352941176471,0.4166666666666667,5,7,3,10,0.673076923076923
7,48,svm_rbf,0.6267857142857143,"{'clf__C': 0.5, 'clf__gamma': 0.001}",0.5416666666666666,0.5416666666666667,0.5217391304347826,0.5,0.5454545454545454,0.5833333333333334,7,5,6,6,0.6458333333333333,0.48,0.47435897435897434,0.5517241379310345,0.6153846153846154,0.5,0.3333333333333333,4,8,5,8,0.5448717948717949
