feature_name,feature_group,f_score,p_value,adhd_mean,control_mean,mean_difference,abs_mean_difference
P3_beta_rel_mean,frequency_band,9.347615408638541,0.0027578124802287566,0.09693184926253656,0.0773503399306588,0.01958150933187776,0.01958150933187776
P3_skew_mean,time_domain,9.288777504434792,0.0028410903174362367,0.03913114051423812,-0.03030485319289744,0.06943599370713556,0.06943599370713556
O1_std_mean,time_domain,9.264915722018069,0.0028755986881421596,146.88400324191775,187.7894355209044,-40.90543227898664,40.90543227898664
O1_rms_mean,time_domain,9.264915722018069,0.0028755986881421596,146.88400324191775,187.7894355209044,-40.90543227898664,40.90543227898664
T7_gamma_rel_mean,frequency_band,9.192042705606147,0.0029836859881068093,0.017383335857860754,0.010382351019139095,0.00700098483872166,0.00700098483872166
F3_zero_crossing_rate_mean,time_domain,9.178270097200704,0.003004580152694486,0.12255982788745827,0.11067164934549875,0.011888178541959518,0.011888178541959518
frontal_hjorth_mobility_mean,region,9.158331705737458,0.0030350960032834253,0.3745639166526579,0.3400637452964438,0.03450017135621414,0.03450017135621414
T7_beta_rel_mean,frequency_band,9.123734417036077,0.0030888081709482596,0.10885452150011107,0.07392741819948657,0.0349271033006245,0.0349271033006245
O1_mean_std,time_domain,9.1126096225376,0.0031062869102433336,2.6387619751598358e-15,3.4548688631924813e-15,-8.161068880326455e-16,8.161068880326455e-16
C4_hjorth_mobility_mean,hjorth,9.10734331883107,0.0031145966171682296,0.37578661339736413,0.33953668101997336,0.03624993237739077,0.03624993237739077
F4_hjorth_mobility_mean,hjorth,9.107237490996113,0.0031147638378399025,0.38159807393605233,0.3427513095058213,0.03884676443023105,0.03884676443023105
P3_alpha_rel_mean,frequency_band,9.09050032101576,0.0031413274687183087,0.14078717427268345,0.10590131558609768,0.034885858686585766,0.034885858686585766
O1_theta_beta_ratio_std,band_ratio,9.08702799472865,0.003146867617427845,0.9695782407436964,1.5615632478677866,-0.5919850071240902,0.5919850071240902
P7_delta_abs_mean,frequency_band,9.047272238494863,0.003211021566972961,11567.443256339666,32875.92522847318,-21308.48197213351,21308.48197213351
